,geometry,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR
95,"POLYGON ((-85.33823 33.653117, -85.293805 33.428098, -85.015358 33.425506, -84.850713 33.511457, -84.808934 33.574085, -84.905788 33.573378, -84.901688 33.780703, -85.037926 33.811942, -85.10707 33.694498, -85.114846 33.691403, -85.134859 33.699911, -85.137012 33.699982, -85.143535 33.698593, -85.1936 33.683017, -85.33823 33.653117), (-85.18621 33.568332, -85.11795 33.613112, -85.025259 33.607435, -85.043703 33.558474, -85.18621 33.568332))",13,00840,1300840,Carroll County School District,00,PK,12,G5420,,E,1228505098,10520867,+33.6186945,-085.0738540,2021,2020-2021
96,"POLYGON ((-85.18621 33.568332, -85.043703 33.558474, -85.025259 33.607435, -85.11795 33.613112, -85.18621 33.568332))",13,00870,1300870,Carrollton City School District,00,PK,12,G5420,,E,58245593,1451093,+33.5816900,-085.0839828,2021,2020-2021
97,"POLYGON ((-84.77254 34.082431, -84.812571 34.096454, -84.806881 34.082486, -84.77254 34.082431))",13,00900,1300900,Cartersville City School District,00,PK,12,G5420,,E,74122058,317826,+34.1645791,-084.8017036,2021,2020-2021
98,"POLYGON ((-85.265055 34.985075, -85.264515 34.895356, -85.264297 34.893954, -85.264341 34.893464, -85.264323 34.890959, -85.264292 34.885604, -85.264325 34.880485, -85.264243 34.87534, -85.144789 34.767639, -84.97986 34.987647, -85.265055 34.985075))",13,00930,1300930,Catoosa County School District,00,PK,12,G5420,,E,419998923,771159,+34.9002118,-085.1393851,2021,2020-2021
99,"POLYGON ((-82.131698 31.010714, -82.415603 31.01359, -82.420442 30.795229, -82.149872 30.784336, -82.214677 30.568556, -82.170197 30.358972, -82.049958 30.362472, -82.00581 30.565358, -82.039795 30.747297, -81.904855 30.82834, -81.936006 31.047993, -82.131698 31.010714))",13,00990,1300990,Charlton County School District,00,PK,12,G5420,,E,2020415648,5963237,+30.7799036,-082.1396442,2021,2020-2021
100,"POLYGON ((-81.144572 32.226128, -81.391698 32.095886, -81.384727 32.079517, -81.308852 31.98233, -81.139326 31.852618, -81.154731 31.713070000000002, -81.051521 31.705198, -80.78296 31.995954, -81.117225 32.117604, -81.144572 32.226128))",13,01020,1301020,Chatham County School District,00,PK,12,G5420,,E,1121786258,509839331,+31.9804037,-081.0851840,2021,2020-2021
101,"POLYGON ((-84.658203 32.309793, -84.923027 32.230851, -84.65892 32.232852, -84.658203 32.309793))",13,01050,1301050,Chattahoochee County School District,00,PK,12,G5420,,E,154560513,2004242,+32.2725435,-084.7487963,2021,2020-2021
102,"POLYGON ((-85.527261 34.588683, -85.462207 34.286386, -85.180548 34.435996, -85.107748 34.587483, -85.527261 34.588683), (-85.32745 34.531041, -85.327245 34.560061, -85.297955 34.564697, -85.301019 34.530635, -85.32745 34.531041))",13,01080,1301080,Chattooga County School District,00,PK,12,G5420,,E,801000399,539115,+34.4742244,-085.3461294,2021,2020-2021
103,"POLYGON ((-84.653232 34.41259, -84.659241 34.07824, -84.418927 34.073298, -84.259019 34.185918, -84.258075 34.335156, -84.257586 34.380992, -84.58263 34.381492, -84.653232 34.41259))",13,01110,1301110,Cherokee County School District,00,PK,12,G5420,,E,1090597336,34427735,+34.2443166,-084.4750574,2021,2020-2021
104,"POLYGON ((-85.264515 34.895356, -85.264243 34.87534, -85.264325 34.880485, -85.264292 34.885604, -85.264323 34.890959, -85.264341 34.893464, -85.264297 34.893954, -85.264515 34.895356))",13,01140,1301140,Chickamauga City School District,00,PK,12,G5420,,E,7377009,32990,+34.8774670,-085.2883505,2021,2020-2021
105,"POLYGON ((-83.537385 33.965912, -83.275933 33.847977, -83.258413 33.999098, -83.360028 34.040572, -83.537385 33.965912))",13,01170,1301170,Clarke County School District,00,PK,12,G5420,,E,308784927,4688313,+33.9521852,-083.3671522,2021,2020-2021
106,"POLYGON ((-84.95864 31.777854, -85.14113 31.780463, -85.045495 31.517129, -84.819807 31.501192, -84.817843 31.619771, -84.942353 31.618669, -84.95864 31.777854))",13,01200,1301200,Clay County School District,00,PK,12,G5420,,E,506093894,56546964,+31.6198309,-084.9925826,2021,2020-2021
107,"POLYGON ((-84.428527 33.648709, -84.458665 33.550933, -84.388118 33.352465, -84.3544 33.352514, -84.29468 33.435715, -84.281273 33.647411, -84.350224 33.647908, -84.399446 33.648309, -84.419228 33.648608, -84.428527 33.648709))",13,01230,1301230,Clayton County School District,00,PK,12,G5420,,E,366879097,6962586,+33.5426863,-084.3555727,2021,2020-2021
108,"POLYGON ((-82.971247 31.183988, -82.971336 30.869392, -82.846405 30.834949, -82.766159 30.732404, -82.604307 30.713715, -82.584007 30.591548, -82.459793 30.584267, -82.418914 30.581767, -82.435852 30.820068, -82.490558 30.963166, -82.592071 31.018487, -82.671669 31.183739, -82.971247 31.183988))",13,01260,1301260,Clinch County School District,00,PK,12,G5420,,E,2110829175,23303279,+30.9176531,-082.7026143,2021,2020-2021
109,"POLYGON ((-84.737836 34.079399, -84.724139 33.80617, -84.578132 33.743507, -84.515411 33.790334, -84.443087 33.879216, -84.418927 34.073298, -84.659241 34.07824, -84.737836 34.079399), (-84.596805 33.938454, -84.551598 33.995497, -84.499945 33.93912, -84.596805 33.938454))",13,01290,1301290,Cobb County School District,00,PK,12,G5420,,E,819277445,12206303,+33.9103550,-084.5632949,2021,2020-2021
110,"POLYGON ((-83.145587 31.472276, -83.140483 31.420395, -82.628975 31.36393, -82.597509 31.469293, -82.627342 31.672672, -82.836633 31.671398, -82.836366 31.816154, -82.995698 31.780983, -82.99836 31.673164, -83.145587 31.472276))",13,01350,1301350,Coffee County School District,00,PK,12,G5420,,E,1533994969,26861152,+31.5492452,-082.8449401,2021,2020-2021
111,"POLYGON ((-83.99943 31.334966, -84.003627 31.07729, -83.736158 31.037679, -83.574857 31.078135, -83.512607 31.327405, -83.65409 31.330661, -83.99943 31.334966))",13,01380,1301380,Colquitt County School District,00,PK,12,G5420,,E,1416812867,24875649,+31.1897075,-083.7697730,2021,2020-2021
112,"POLYGON ((-82.425328 33.650629, -82.436814 33.549658, -82.294179 33.354635, -82.028238 33.544934, -82.115329 33.596613, -82.218649 33.686299, -82.425328 33.650629))",13,01410,1301410,Columbia County School District,00,PK,12,G5420,,E,751598753,45345677,+33.5520746,-082.2496077,2021,2020-2021
113,"POLYGON ((-83.490441 34.257424, -83.451503 34.237732, -83.451742 34.237938, -83.470291 34.253353, -83.475796 34.257884, -83.476976 34.258853, -83.47803 34.259718, -83.48875 34.256368, -83.490441 34.257424))",13,01440,1301440,Commerce City School District,00,PK,12,G5420,,E,34317773,341545,+34.2142985,-083.4757128,2021,2020-2021
114,"POLYGON ((-83.512607 31.327405, -83.574857 31.078135, -83.475617 31.031964, -83.295052 31.027278, -83.335949 31.244579, -83.434492 31.350361, -83.512607 31.327405))",13,01470,1301470,Cook County School District,00,PK,12,G5420,,E,591684405,12308449,+31.1525157,-083.4294448,2021,2020-2021
115,"POLYGON ((-85.015358 33.425506, -84.939015 33.224693, -84.862359 33.191173, -84.502352 33.221055, -84.497527 33.257422, -84.620063 33.412868, -84.60954 33.502511, -84.850713 33.511457, -85.015358 33.425506))",13,01500,1301500,Coweta County School District,00,PK,12,G5420,,E,1142367433,12680737,+33.3528965,-084.7621381,2021,2020-2021
116,"POLYGON ((-84.124275 32.849562, -84.202628 32.690018, -84.104966 32.673385, -84.003363 32.529927, -83.766963 32.692495, -83.70109 32.691598, -83.701152 32.692169, -83.891922 32.848351, -84.124275 32.849562))",13,01530,1301530,Crawford County School District,00,PK,12,G5420,,E,841524044,3986929,+32.7094283,-083.9791874,2021,2020-2021
117,"POLYGON ((-83.961278 32.030595, -83.922494 31.909653, -83.939437 31.847929, -83.802723 31.803579, -83.612256 31.854089, -83.609663 32.027938, -83.961278 32.030595))",13,01560,1301560,Crisp County School District,00,PK,12,G5420,,E,706237950,21408088,+31.9202675,-083.7565301,2021,2020-2021
118,"POLYGON ((-85.363919 34.983375, -85.605165 34.984678, -85.534089 34.623858, -85.363919 34.983375))",13,01590,1301590,Dade County School District,00,PK,12,G5420,,E,450584680,488463,+34.8524237,-085.5062006,2021,2020-2021
119,"POLYGON ((-84.983507 34.793052, -84.999312 34.757727, -84.999085 34.743357, -84.989827 34.740648, -84.960951 34.71074, -84.940528 34.768029, -84.983507 34.793052))",13,01620,1301620,Dalton City School District,00,PK,12,G5420,,E,54758587,44554,+34.7678980,-084.9728123,2021,2020-2021
120,"POLYGON ((-84.196754 34.617924, -84.345553 34.562735, -84.257586 34.380992, -84.258075 34.335156, -83.957077 34.334011, -83.980649 34.418389, -84.19104 34.539181, -84.188557 34.602692, -84.196754 34.617924))",13,01650,1301650,Dawson County School District,00,PK,12,G5420,,E,546042258,9272655,+34.4426077,-084.1732611,2021,2020-2021
121,"POLYGON ((-84.290897 33.751003, -84.283616 33.787525, -84.309407 33.787711, -84.31577 33.765048, -84.290897 33.751003))",13,01680,1301680,Decatur City School District,00,PK,12,G5420,,E,11905801,13321,+33.7710674,-084.2957837,2021,2020-2021
122,"POLYGON ((-84.730855 31.06919, -84.755917 30.88527, -84.863465 30.711494, -84.380705 30.689993, -84.376612 31.078883, -84.508078 31.0784, -84.542653 31.079029, -84.730855 31.06919))",13,01710,1301710,Decatur County School District,00,PK,12,G5420,,E,1546842840,67154651,+30.8806431,-084.5838902,2021,2020-2021
123,"POLYGON ((-84.290897 33.751003, -84.350224 33.647908, -84.281273 33.647411, -84.184143 33.646157, -84.023713 33.752808, -84.277093 33.957614, -84.348089 33.88209, -84.34806 33.80505, -84.31577 33.765048, -84.309407 33.787711, -84.283616 33.787525, -84.290897 33.751003))",13,01740,1301740,DeKalb County School District,00,PK,12,G5420,,E,662102261,8739229,+33.7715940,-084.2219977,2021,2020-2021
124,"POLYGON ((-83.346528 32.272489, -83.337313 32.105885, -83.205739 31.900325, -82.927865 32.135274, -82.884803 32.196072, -82.990967 32.147274, -83.138991 32.423069, -83.346528 32.272489))",13,01770,1301770,Dodge County School District,00,PK,12,G5420,,E,1284538002,18529136,+32.1643690,-083.1678658,2021,2020-2021
125,"POLYGON ((-84.0276 32.171165, -83.961278 32.030595, -83.609663 32.027938, -83.608547 32.118405, -83.615579 32.288556, -83.848379 32.29097, -84.0276 32.171165))",13,01800,1301800,Dooly County School District,00,PK,12,G5420,,E,1016908646,12141885,+32.1519954,-083.8071670,2021,2020-2021
126,"POLYGON ((-84.450398 31.621868, -84.429876 31.436661, -84.141124 31.440179, -83.997796 31.443753, -84.018404 31.650274, -84.297801 31.621951, -84.450398 31.621868))",13,01830,1301830,Dougherty School District,00,PK,12,G5420,,E,851183381,15352851,+31.5325876,-084.2090400,2021,2020-2021
127,"POLYGON ((-84.901688 33.780703, -84.905788 33.573378, -84.808934 33.574085, -84.578132 33.743507, -84.724139 33.80617, -84.901688 33.780703))",13,01860,1301860,Douglas County School District,00,PK,12,G5420,,E,518302399,2423527,+33.7012421,-084.7673139,2021,2020-2021
128,"POLYGON ((-82.938909 32.485547, -82.885445 32.518434, -82.897758 32.561398, -82.963612 32.533483, -82.938909 32.485547))",13,01870,1301870,Dublin City School District,00,PK,12,G5420,,E,41397440,243375,+32.5354711,-082.9288071,2021,2020-2021
129,"POLYGON ((-82.957066 32.708318, -83.226536 32.584201, -83.138991 32.423069, -82.990967 32.147274, -82.884803 32.196072, -82.721964 32.309283, -82.647733 32.512507, -82.668557 32.612164, -82.862763 32.71576, -82.957066 32.708318), (-82.938909 32.485547, -82.963612 32.533483, -82.897758 32.561398, -82.885445 32.518434, -82.938909 32.485547))",13,01890,1301890,Laurens County School District,00,PK,12,G5420,,E,2049592601,28595093,+32.4609443,-082.9111706,2021,2020-2021
130,"POLYGON ((-85.045495 31.517129, -85.113261 31.264343, -85.028564 31.075523, -84.922423 31.07259, -84.917421 31.25599, -84.641673 31.258967, -84.637579 31.433926, -84.819807 31.501192, -85.045495 31.517129))",13,01920,1301920,Early County School District,00,PK,12,G5420,,E,1327626625,9702715,+31.3241906,-084.9067225,2021,2020-2021
