,Mean,Lower_ci,Upper_ci,Date,City
7641,128614.85668188884,124499.28473417419,132730.42862960347,2021-11,"Danville, KY"
7642,128840.83342567958,124428.82012836261,133252.84672299656,2021-12,"Danville, KY"
7643,129061.3258686618,124365.22581393897,133757.42592338464,2022-01,"Danville, KY"
7644,129277.48533814792,124308.7428982911,134246.22777800474,2022-02,"Danville, KY"
7645,129490.22146161902,124259.416350361,134721.02657287705,2022-03,"Danville, KY"
7646,129700.25290712496,124217.15545016435,135183.35036408555,2022-04,"Danville, KY"
7647,129908.14747167785,124181.77816061434,135634.51678274135,2022-05,"Danville, KY"
7648,130114.35375383026,124153.04349896082,136075.6640086997,2022-06,"Danville, KY"
7649,130319.22617718269,124130.67498163963,136507.77737272574,2022-07,"Danville, KY"
7650,130523.04476066935,124114.37744557012,136931.71207576856,2022-08,"Danville, KY"
7651,130726.0307384389,124103.84896674281,137348.212510135,2022-09,"Danville, KY"
7652,130928.3589006307,124098.78916040926,137757.92864085213,2022-10,"Danville, KY"
7653,131130.16734343377,124098.90482083824,138161.4298660293,2022-11,"Danville, KY"
7654,131331.56517230166,124103.91361481351,138559.21672978983,2022-12,"Danville, KY"
7655,131532.63858802003,124113.54636088788,138951.73081515217,2023-01,"Danville, KY"
7656,123682.23053915266,122583.0306159348,124781.43046237052,2021-02,"Glasgow, KY"
7657,123938.06013613897,122297.01797628497,125579.10229599297,2021-03,"Glasgow, KY"
7658,124181.27702429132,122084.93484968012,126277.61919890252,2021-04,"Glasgow, KY"
7659,124415.40811890106,121913.0791097901,126917.73712801203,2021-05,"Glasgow, KY"
7660,124642.99409735965,121770.27276589189,127515.71542882742,2021-06,"Glasgow, KY"
7661,124865.86518270175,121651.03890276294,128080.69146264055,2021-07,"Glasgow, KY"
7662,125085.33980928181,121551.9239938582,128618.75562470542,2021-08,"Glasgow, KY"
7663,125302.36773519716,121470.38136611259,129134.35410428172,2021-09,"Glasgow, KY"
7664,125517.63313591728,121404.36450236972,129630.90176946484,2021-10,"Glasgow, KY"
7665,125731.62886964924,121352.15601987694,130111.10171942154,2021-11,"Glasgow, KY"
7666,125944.70997574062,121312.2842359101,130577.13571557114,2021-12,"Glasgow, KY"
